薪资,职位,区域
1.5-2万/月,Python开发工程师,深圳-福田区
5-8千/月,Python开发工程师,广州-白云区
1.5-3万/月,Python开发工程师,北京-海淀区
1.5-2万/月,项目研发经理（python平台）,上海
1.2-1.8万/月,微软-python开发,深圳-南山区
0.8-1.6万/月,Python开发工程师,深圳
1-1.8万/月,Python开发工程师,深圳
1.5-2万/月,Python工程师（量化平台）,北京
6-8千/月,Python初级开发工程师,北京-海淀区
1.5-2.5万/月,python爬虫开发工程师,广州
0.9-1.5万/月,Python,深圳-南山区
0.8-1万/月,Python开发工程师,广州-天河区
1-1.5万/月,Python软件工程师（大数据产品开发）,上海-杨浦区
0.8-1万/月,Python开发工程师,北京-海淀区
1-1.5万/月,python开发工程师（深圳）,深圳-南山区
0.8-1.2万/月,游戏后端（python）,深圳
6-8千/月,Python Web产品开发工程师,广州
1-2万/月,Python Developer,上海-浦东新区
0.8-1万/月,(ID60264)汽车电子-嵌入式工具开发C/Perl/Python,上海
1-2万/月,python开发工程师,北京-海淀区
1-1.5万/月,Python高级开发工程师,北京
1.5-2.5万/月,高级后端Python开发工程师,上海
1-3万/月,Python/PHP 语言开发工程师-YL,深圳-南山区
2-2.5万/月,软件工程师（Python开发）,上海-静安区
2-3万/月,高级python开发工程师,上海-浦东新区
0.6-1.8万/月,python开发工程师/python爬虫/python数据挖掘,广州
1.5-2万/月,机器学习开发工程师（熟悉python者优先）,深圳-南山区
1.2-1.5万/月,Python中级开发工程师,广州-天河区
1.2-1.8万/月,高级Python开发工程师,上海-浦东新区
1-2万/月,Python开发工程师,深圳-宝安区
1-1.5万/月,python 开发工程师（偏web方向）,上海-浦东新区
1-1.5万/月,Python开发工程师,北京
1.5-3万/月,Python开发工程师,深圳-龙华新区
1-2.5万/月,python课程总监/课程开发总监/研发总监,上海-普陀区
1.2-1.8万/月,Python中级开发工程师,上海-浦东新区
1-1.5万/月,Python开发工程师,广州-荔湾区
1.7-2万/月,Python开发工程师,深圳
6-8千/月,技术支持工程师（Python软件运维）,北京-海淀区
6-8千/月,Python开发工程师,广州
1-1.5万/月,python就业指导专员,北京-昌平区
6-8千/月,Python web方向开发工程师,北京
1.2-2万/月,Python就业指导专员,深圳-宝安区
1.5-2万/月,高级Python工程师,上海-静安区
7-12万/年,Python软件工程师(实习),广州
1.5-2万/月,Python/Go 运维开发工程师,上海-黄浦区
1-1.5万/月,Python开发工程师,北京
1-1.5万/月,Python 运维工程师,北京
2.5-3.5万/月,Python高级软件工程师,北京
0.9-1.3万/月,python开发,深圳-南山区
6-8千/月,中级python工程师,上海-浦东新区
0.8-1.6万/月,python开发工程师,北京
0.8-1万/月,Python软件工程师,广州-天河区
0.6-1.2万/月,Python 开发工程师,广州
5-8千/月,Python工程师（初级）,广州-越秀区
1-1.6万/月,Python 开发工程师(大数据方向),深圳-福田区
1.5-2.5万/月,后端开发工程师（Python方向）,广州-海珠区
1.5-2万/月,资深Python开发工程师,上海
1.5-2.5万/月,Python开发工程师,深圳-南山区
6-8千/月,python/Django web开发工程师,深圳-罗湖区
1-1.5万/月,Python开发工程师,深圳
,服务端研发工程师-Python（万得子公司）,上海-浦东新区
20-30万/年,Python Developer - AAM701,北京-朝阳区
2-4万/月,Python高级开发工程师,上海-杨浦区
1.2-1.5万/月,Python开发工程师,上海-黄浦区
1.5-3万/月,Python高级开发工程师,上海-长宁区
1-1.5万/月,Python开发工程师-中关村-ERP-93,北京-海淀区
0.8-1.5万/月,Python开发工程师,北京-海淀区
6-8千/月,Python支持工程师,北京-海淀区
1-1.5万/月,Python开发工程师,北京
0.8-1.5万/月,python测试工程师,上海-闵行区
1.5-3万/月,大数据应用开发（python）,上海-徐汇区
1-1.5万/月,Python工程师（机器学习方向）,北京-海淀区
0.6-1万/月,大数据开发工程师（python）,上海-闵行区
1.5-2万/月,数据挖掘工程师(R或Python),北京-海淀区
1-1.5万/月,Python高级开发工程师,北京-海淀区
0.8-1万/月,Python开发,广州-天河区
1.5-3万/月,Python游戏服务端开发工程师,深圳-南山区
2-2.5万/月,Python开发工程师,上海-杨浦区
6-8千/月,棋牌开发python程序员欢迎优秀应届生,广州-荔湾区
0.8-1万/月,Python开发工程师,上海-虹口区
6-8千/月,python开发工程师,上海-闵行区
1.5-2.5万/月,Go/Python架构师,深圳-南山区
1.5-2万/月,Python数据开发工程师,上海-松江区
1-2万/月,Python开发工程师,北京-海淀区
1.3-1.8万/月,Python算法工程师,北京-海淀区
1-1.5万/月,高级软件测试工程师(Python),上海-长宁区
1.5-2万/月,Python高级研发工程师,北京-海淀区
0.8-1万/月,python后台开发工程师,广州-天河区
0.5-1万/月,python工程师,深圳-龙岗区
1-2万/月,Python开发工程师,北京
1.5-2万/月,Python开发工程师,北京-海淀区
0.8-1.6万/月,Python讲师,上海
3-5万/月,Python高级研发工程师,北京
0.8-1万/月,软件开发工程师（Java/Python）-郑州,异地招聘
1.5-1.9万/月,Python开发工程师-上海-01107,上海-黄浦区
1.2-1.5万/月,Python开发工程师,上海-浦东新区
1.5-2.5万/月,Python高级DevOps工程师,深圳-南山区
0.8-1.5万/月,python工程师（爬虫）,广州-天河区
0.6-1万/月,Python开发工程师,北京-海淀区
1-1.5万/月,python工程师,上海-徐汇区
1.2-2.4万/月,Python开发工程师,深圳-南山区
1-1.8万/月,Python高级开发工程师,上海-黄浦区
4-8千/月,Python开发工程师,深圳
0.8-1万/月,VBA/Python Developer,上海
1-2万/月,Python开发工程师,上海-徐汇区
0.6-1万/月,Python开发工程师,北京-海淀区
1-1.5万/月,中级python后端开发,深圳-南山区
1.5-3万/月,蛋壳公寓-Python工程师,北京-东城区
1-1.5万/月,Python开发工程师,北京-海淀区
2-2.5万/月,Python工程师-外研在线,北京
20-30万/年,Python,深圳
,Python开发工程师,上海-徐汇区
0.8-1.5万/月,Python开发工程师,北京-朝阳区
0.8-1万/月,Python高级工程师 / 程序员,北京-朝阳区
1.5-2万/月,高级软件工程师-开发支付系统PMTS控制台（Python）,北京
1-1.5万/月,Python数据分析师,北京-丰台区
1-1.5万/月,Python工程师,上海-浦东新区
1-2万/月,Python 开发工程师,上海-浦东新区
1-1.5万/月,python开发工程师,北京-海淀区
1-1.5万/月,Python开发工程师,广州-天河区
1.5-2万/月,高级Python开发工程师（产品开发）,上海-普陀区
2-3万/月,python讲师,深圳-南山区
1.5-2万/月,Python 工程師,深圳
0.7-1万/月,python后端开发工程师,广州
1-1.6万/月,Python开发工程师,深圳-宝安区
0.8-1万/月,python web 开发工程师,北京-海淀区
1.5-2万/月,Python开发工程师,上海
1-1.5万/月,Python开发工程师,上海
1.5-2万/月,Python开发工程师,广州
1-1.6万/月,Python开发工程师,上海-徐汇区
0.8-1.2万/月,Python开发（爬虫）,上海
1-1.5万/月,Python开发工程师,深圳-福田区
1.8-3.5万/月,Python（高级&资深&leader）,深圳
1-1.5万/月,python开发工程师,北京-海淀区
0.6-1万/月,（急聘）Python开发工程师,广州-天河区
1-1.5万/月,Python开发工程师,北京
1.8-3万/月,Python开发工程师,广州-天河区
6-8千/月,python开发工程师,上海-闵行区
0.8-1.2万/月,python开发工程师,广州-天河区
20-30万/年,python与大数据开发工程师,北京-海淀区
1-1.5万/月,Python开发工程师,上海-徐汇区
1.5-2.5万/月,Python测试开发工程师,北京-西城区
1.5-2万/月,搜狐媒体-社交产品中心-Python开发工程师,北京-海淀区
20-30万/年,Python开发工程师,上海-浦东新区
1-1.5万/月,python研发工程师,上海
2-4万/月,Python开发工程师,深圳-南山区
0.7-1万/月,Python 抓取爬虫数据处理工程师,上海-徐汇区
0.8-1.2万/月,python爬虫工程师,深圳-福田区
6-8千/月,Python工程师,上海-杨浦区
0.8-2万/月,风控系统python研发工程师,上海-浦东新区
1.5-2.5万/月,资深Python开发工程师,深圳-南山区
0.8-1万/月,Python高级软件工程师,上海-宝山区
1-2万/月,Python web开发工程师,上海-闵行区
1.2-2.5万/月,Python开发工程师,上海
0.5-1万/月,Python程序员,深圳-南山区
1.2-1.8万/月,Python开发工程师,上海-浦东新区
4.5-6千/月,Python开发工程师,广州
6-8千/月,python开发工程师,广州
0.7-1.4万/月,Python中级工程师,上海
1-1.5万/月,python 研发工程师,北京-朝阳区
1-1.5万/月,Python工程师,北京-海淀区
1-1.5万/月,Python开发工程师,上海-浦东新区
2-2.5万/月,Python高级开发工程师,深圳-南山区
1.5-2.5万/月,Python高级开发工程师(高薪诚聘）,北京-朝阳区
2-3.5万/月,Python Web后端工程师,北京-海淀区
0.8-1.2万/月,Python工程师,深圳-福田区
0.8-1万/月,Python软件开发工程师,广州
1-2万/月,Python开发工程师,上海-静安区
1.5-2.5万/月,爬虫工程师（Python）,上海-浦东新区
1-1.5万/月,测试工程师python,北京-海淀区
2.5-4.5万/月,python开发工程师(J10904),北京-海淀区
4.5-6千/月,Python运维工程师,上海
1-1.5万/月,Python开发工程师,深圳-南山区
0.8-1万/月,Python开发工程师（广州）,广州
,Python开发工程师（深圳）,深圳
6-8千/月,Python/Odoo初级开发工程师,上海
1-2万/月,Python开发工程师,上海-徐汇区
1.2-1.5万/月,双休高级爬虫工程师Java程序员python高级开发工程师,深圳-龙岗区
1.5-2万/月,python后台开发工程师+弹性时间+集团公司,北京-西城区
1-1.5万/月,软件工程师（python方向）,上海-浦东新区
,TEG13-Python运营开发(后台)工程师（深圳）,深圳
4.5-6千/月,Python高级开发工程师,广州-天河区
1-1.5万/月,中高级python开发工程师,北京-西城区
1.5-3万/月,Python高级开发工程师,上海-浦东新区
1-1.5万/月,Python开发工程师,深圳
1-1.5万/月,Python爬虫工程师,北京-朝阳区
1-1.5万/月,Python开发工程师,北京-海淀区
1-2万/月,Python开发工程师,上海-徐汇区
0.8-1.2万/月,Python软件工程师,北京-东城区
1-1.5万/月,Python高级开发工程师,广州-白云区
1-1.5万/月,云方向业务部门_Python开发工程师,北京-海淀区
1-1.5万/月,Python开发工程师,上海
1.6-2.5万/月,运维软件-平台研发工程师 (Python) （上海）,上海-徐汇区
1.5-2万/月,Python高级开发工程师,北京
0.8-1万/月,Python工程师,上海-浦东新区
1-1.5万/月,Python运维开发工程师,深圳-南山区
0.8-1.5万/月,Python开发工程师,深圳-罗湖区
0.8-1.5万/月,python开发工程师,北京-西城区
1-1.5万/月,Python开发工程师,北京-海淀区
1-1.5万/月,Python开发工程师,深圳
1-1.5万/月,Python自动化测试工程师,上海-虹口区
1.5-2万/月,Python爬虫开发高级工程师,北京-朝阳区
4-5千/月,RD-java/Python发工程师,深圳
1-1.5万/月,Python开发工程师,上海-徐汇区
1-3万/月,Python爬虫开发工程师,上海-浦东新区
1.5-2万/月,PHP+Python软件工程师,深圳-龙岗区
1-2万/月,Python开发工程师,上海-长宁区
2-2.5万/月,python工程师,上海
200元/天,python实习生,上海
1.3-2.5万/月,Python开发工程师,深圳-南山区
1-3.5万/月,Python中高级工程师,深圳-南山区
0.4-1.5万/月,气象卫星遥感应用开发/c++/java/Python/Fortran,异地招聘
1-1.5万/月,Python讲师,上海
1-1.5万/月,python开发工程师,上海-浦东新区
,Python开发工程师,北京
4.5-6千/月,Python开发工程师助理（实习生）,上海-浦东新区
0.6-1.1万/月,Python开发工程师,上海-静安区
0.8-1.2万/月,百度上海-Python工程师,上海-嘉定区
0.8-2万/月,python开发工程师,北京-丰台区
4-8千/月,C/C++/java/lua/python游戏服务器/后端开发,广州-天河区
1-1.5万/月,Python开发工程师,北京-海淀区
0.8-1万/月,Python开发工程师,北京
1-2万/月,上海Python工程师-真格基金投资企业IMIO,北京
2-4万/月,Python高级开发工程师,北京-朝阳区
1.5-2万/月,Python研发工程师,北京-海淀区
1.5-2万/月,测试开发工程师（C++/python）,上海-浦东新区
1.2-1.7万/月,Python开发工程师,上海-黄浦区
2.5-3万/月,Python Programmer/Python工程师,上海-黄浦区
1-2万/月,Python开发工程师,上海-浦东新区
0.6-1万/月,Python工程师（NO.测服1703）,北京
1-2万/月,高级研发工程师-Java及Python,北京-昌平区
0.6-1万/月,Python,北京-丰台区
1-1.5万/月,Python高级软件工程师,广州-萝岗区
1.2-3万/月,Python程序员(游戏开发),上海-浦东新区
,Python软件工程师,北京
2-3万/月,高级python开发工程师,北京-海淀区
0.8-1.6万/月,python爬虫工程师,北京-海淀区
1.5-2.5万/月,Python 软件开发工程师,深圳-南山区
0.8-1.5万/月,Python开发工程师,广州-天河区
0.8-1.4万/月,Python后端工程师,上海
0.6-1.2万/月,Python开发工程师,深圳-龙岗区
1.2-2万/月,Python高级开发工程师,上海-浦东新区
0.8-2万/月,Java/Python服务器后台开发,上海-闵行区
1.5-2万/月,Python软件工程师,上海-长宁区
300元/天,Python web开发实习生,上海-长宁区
1-2万/月,Python 研发工程师,北京-朝阳区
1-2万/月,Python工程师,北京-朝阳区
6-8千/月,Python/Openstack 工程师,上海-徐汇区
0.7-1.4万/月,Python开发工程师,上海-宝山区
10-20万/年,python开发工程师,北京-海淀区
200元/天,Python开发工程师（实习生）,上海-杨浦区
1.2-2.4万/月,Python数据工程师,北京-海淀区
0.8-1万/月,C++/Python研发工程师,北京-朝阳区
0.8-1.5万/月,Python 开发工程师,北京-海淀区
1.5-3万/月,Python开发工程师（互联网）,上海-宝山区
1.5-2万/月,Python Developer,上海-浦东新区
1.3-2.6万/月,go/python服务端开发工程师(广州),广州-天河区
1-1.5万/月,Python开发工程师,上海-浦东新区
0.8-1.5万/月,Python开发工程师,深圳-福田区
1.5-2万/月,python开发工程师,上海-徐汇区
1.5-2万/月,Python开发工程师-上海-02633,上海
1-1.4万/月,Python开发-北京-02317,北京
2-2.5万/月,Python开发工程师,北京-海淀区
0.6-1.5万/月,Python开发工程师,深圳-龙华新区
1.5-2万/月,Python爬虫工程师,上海
2-2.5万/月,Python开发工程师,北京-海淀区
1-1.5万/月,Python开发工程师,上海-浦东新区
1.5-2万/月,0131-Python运维开发工程师,上海-杨浦区
10-15万/年,Python Developer（Python开发人员）,上海
1.5-2万/月,Python开发工程师,北京
1-2万/月,Python高级开发工程师,广州-番禺区
1-1.5万/月,python开发工程师,北京-朝阳区
0.8-1万/月,Python开发工程师,深圳-福田区
1.5-3万/月,高级python开发工程师,北京-朝阳区
0.8-1.8万/月,高级Python开发工程师/Django开发工程师/python大数据,广州-白云区
1-1.5万/月,Python开发工程师（长亮合度-深圳）,深圳-福田区
1.5-2万/月,Python爬虫工程师,上海-浦东新区
1-2万/月,Python高级开发工程师,北京-海淀区
2-4万/月,高级/资深后端工程师（Node/Java/PHP/Python）,北京-海淀区
1.2-2.4万/月,CXWG-后端开发工程师（Python）,广州-天河区
0.6-1万/月,Python开发工程师,广州
0.8-1.5万/月,Python开发工程师（产品研发）,北京-东城区
1.2-2.4万/月,高级Python开发工程师,上海-浦东新区
0.5-1.5万/月,Python开发工程师,广州-番禺区
2-2.5万/月,Python高级开发工程师,上海
1-1.5万/月,Python开发工程师,深圳
1-1.5万/月,Python开发工程师,北京-海淀区
1-1.8万/月,Python开发工程师/Python,上海-杨浦区
1.5-2万/月,Python工程师,上海-浦东新区
1.5-2万/月,Python讲师,上海-奉贤区
1.2-2.5万/月,Python后端工程师,深圳-南山区
1.3-2万/月,后台开发 /C++高级软件开发工程师/python,上海-浦东新区
0.6-1.2万/月,Python开发工程师,深圳-南山区
1.5-2万/月,Python开发工程师,上海-黄浦区
0.9-1.4万/月,python工程师,广州-天河区
1-2.5万/月,高级运维开发工程师(Python),深圳-南山区
1-1.5万/月,Python开发工程师,上海-嘉定区
1-1.5万/月,Python服务端程序,上海-浦东新区
1-2.5万/月,Java/Python/Hadoop高级软件研发工程师,上海-浦东新区
1.5-2万/月,高级Python开发工程师,北京-朝阳区
1.5-2万/月,python开发工程师-上海-00095,上海-虹口区
2.5-3万/月,python（接口）,北京-海淀区
1-1.8万/月,人工智能 软件工程师（C++/Python/机器学习方向),异地招聘
1.5-2万/月,高级python/c工程师,广州-天河区
1-2万/月,Python高级开发工程师,上海-静安区
2.2-3万/月,python开发工程师,北京-海淀区
1.5-2万/月,中级python开发工程师,上海-浦东新区
1-1.5万/月,Python开发工程师,深圳-南山区
1.5-2.5万/月,Python高级开发工程师,北京-海淀区
0.8-1.5万/月,Python工程师,上海-普陀区
30-40万/年,高级 OCR 图像、光学识别工程师/Python研发,上海-普陀区
,软件开发-Python方向(金蝶天燕中间件-深圳),深圳
1-2万/月,C++、JAVA、PYTHON开发工程师,北京
1.5-3.5万/月,资深Python工程师,上海
1.5-2万/月,数据采集工程师-python,北京-朝阳区
1-1.5万/月,python后台开发工程师,深圳-南山区
1-1.8万/月,后端开发工程师（lua、python中间件方向）,上海-徐汇区
0.8-1.2万/月,Python运维,深圳-福田区
1.5-2.5万/月,Python开发工程师,北京-海淀区
1-1.5万/月,Python开发工程师,广州
0.7-2万/月,python开发,上海-杨浦区
0.8-1万/月,PYTHON开发工程师,北京
2.5-4万/月,Python工程师,上海-浦东新区
0.6-1万/月,python开发工程师,上海-浦东新区
1-1.5万/月,中级python工程师,北京-朝阳区
